"","tract","year","count","population","crimerate"
"176","001200",2015,161,4338,37.11387736284
"177","001200",2016,140,4338,32.2729368372522
"178","001200",2017,155,4338,35.7307514983864
"179","001200",2018,149,4338,34.3476256339327
"180","001200",2019,207,4338,47.7178423236514
"181","001301",2010,43,3477,12.3669830313489
"182","001301",2011,63,3477,18.1190681622088
"183","001301",2012,45,3477,12.9421915444349
"184","001301",2013,49,3477,14.0926085706068
"185","001301",2014,55,3477,15.8182341098648
"186","001301",2015,75,3477,21.5703192407248
"187","001301",2016,38,3477,10.9289617486339
"188","001301",2017,35,3477,10.0661489790049
"189","001301",2018,48,3477,13.8050043140638
"190","001301",2019,36,3477,10.3537532355479
"191","001302",2010,133,6589,20.1851570799818
"192","001302",2011,119,6589,18.0604037031416
"193","001302",2012,71,6589,10.7755349825467
"194","001302",2013,115,6589,17.4533313097587
"195","001302",2014,124,6589,18.8192441948702
"196","001302",2015,103,6589,15.63211412961
"197","001302",2016,77,6589,11.686143572621
"198","001302",2017,79,6589,11.9896797693125
"199","001302",2018,156,6589,23.6758233419335
"200","001302",2019,175,6589,26.5594172105024
"201","001401",2010,70,2419,28.9375775113683
"202","001401",2011,73,2419,30.1777594047127
"203","001401",2012,42,2419,17.362546506821
"204","001401",2013,86,2419,35.5518809425382
"205","001401",2014,63,2419,26.0438197602315
"206","001401",2015,43,2419,17.7759404712691
"207","001401",2016,54,2419,22.3232740801984
"208","001401",2017,48,2419,19.8429102935097
"209","001401",2018,69,2419,28.5241835469202
"210","001401",2019,46,2419,19.0161223646135
"211","001402",2010,56,2446,22.8945216680294
"212","001402",2011,62,2446,25.3475061324612
"213","001402",2012,68,2446,27.8004905968929
"214","001402",2013,91,2446,37.2035977105478
"215","001402",2014,47,2446,19.2150449713818
"216","001402",2015,62,2446,25.3475061324612
"217","001402",2016,72,2446,29.4358135731807
"218","001402",2017,55,2446,22.4856909239575
"219","001402",2018,50,2446,20.4415372035977
"220","001402",2019,40,2446,16.3532297628782
"221","001500",2010,74,4371,16.9297643559826
"222","001500",2011,67,4371,15.3283001601464
"223","001500",2012,58,4371,13.2692747654999
"224","001500",2013,79,4371,18.0736673530085
"225","001500",2014,126,4371,28.8263555250515
"226","001500",2015,64,4371,14.6419583619309
"227","001500",2016,93,4371,21.2765957446809
"228","001500",2017,81,4371,18.5312285518188
"229","001500",2018,106,4371,24.2507435369481
"230","001500",2019,92,4371,21.0478151452757
"231","001600",2010,174,3239,53.7202840382834
"232","001600",2011,171,3239,52.7940722445199
"233","001600",2012,195,3239,60.203766594628
"234","001600",2013,147,3239,45.3843778944119
"235","001600",2014,208,3239,64.2173510342698
"236","001600",2015,170,3239,52.4853349799321
"237","001600",2016,149,3239,46.0018524235875
"238","001600",2017,130,3239,40.1358443964186
"239","001600",2018,197,3239,60.8212411238036
"240","001600",2019,269,3239,83.0503241741278
"241","001702",2010,149,2273,65.5521337439507
"242","001702",2011,174,2273,76.5508139023317
"243","001702",2012,144,2273,63.3523977122745
"244","001702",2013,148,2273,65.1121865376155
"245","001702",2014,236,2273,103.827540695117
"246","001702",2015,210,2273,92.3889133304003
"247","001702",2016,177,2273,77.8706555213374
"248","001702",2017,181,2273,79.6304443466784
"249","001702",2018,272,2273,119.665640123185
"250","001702",2019,261,2273,114.826220853498
"251","001803",2010,77,2826,27.2469922151451
"252","001803",2011,64,2826,22.6468506723284
"253","001803",2012,83,2826,29.3701344656759
"254","001803",2013,89,2826,31.4932767162067
"255","001803",2014,126,2826,44.5859872611465
"256","001803",2015,70,2826,24.7699929228592
"257","001803",2016,76,2826,26.89313517339
"258","001803",2017,76,2826,26.89313517339
"259","001803",2018,59,2826,20.8775654635527
"260","001803",2019,34,2826,12.0311394196745
"261","001804",2010,170,3461,49.1187518058365
"262","001804",2011,168,3461,48.5408841375325
"263","001804",2012,194,3461,56.053163825484
"264","001804",2013,192,3461,55.47529615718
"265","001804",2014,356,3461,102.860444958105
"266","001804",2015,381,3461,110.083790811904
"267","001804",2016,285,3461,82.3461427333141
"268","001804",2017,275,3461,79.4568043917943
"269","001804",2018,284,3461,82.0572088991621
"270","001804",2019,262,3461,75.7006645478186
"271","001901",2010,158,3190,49.5297805642633
"272","001901",2011,172,3190,53.9184952978056
"273","001901",2012,168,3190,52.6645768025078
"274","001901",2013,175,3190,54.858934169279
"275","001901",2014,209,3190,65.5172413793103
"276","001901",2015,246,3190,77.115987460815
"277","001901",2016,214,3190,67.0846394984326
"278","001901",2017,186,3190,58.307210031348
"279","001901",2018,195,3190,61.128526645768
"280","001901",2019,142,3190,44.5141065830721
"281","001902",2010,147,1625,90.4615384615385
"282","001902",2011,142,1625,87.3846153846154
"283","001902",2012,131,1625,80.6153846153846
"284","001902",2013,181,1625,111.384615384615
"285","001902",2014,166,1625,102.153846153846
"286","001902",2015,161,1625,99.0769230769231
"287","001902",2016,126,1625,77.5384615384615
"288","001902",2017,69,1625,42.4615384615385
"289","001902",2018,94,1625,57.8461538461538
